Frame,Agent_Type,Agent_ID,X,Y
0,Dog,0,60.28490205042098,146.364961497157
0,Sheep,0,141.83856647717195,69.03619247860357
0,Sheep,1,139.56642513697716,43.07644130849443
0,Sheep,2,134.74768278139356,65.62471740871163
0,Sheep,3,110.98088243058189,44.64551905130578
0,Sheep,4,141.66199153105828,42.35290366809961
0,Sheep,5,122.85603046719896,42.969749337898115
0,Sheep,6,95.5704466256937,57.16408463094163
0,Sheep,7,126.08730599551552,63.57686250206361
0,Sheep,8,137.03838951973074,59.63176037503003
0,Sheep,9,139.28632725914323,54.73441139904252
0,Sheep,10,130.24329447071722,58.70663279499469
0,Sheep,11,135.5877686249942,42.7152849577551
0,Sheep,12,130.0649244076536,62.74997823399351
0,Sheep,13,128.23918647922676,27.379719776878517
0,Sheep,14,131.838247532699,58.72244242128148
0,Sheep,15,107.59306071755198,55.065149826585724
0,Sheep,16,144.39485067292927,63.476555482026534
0,Sheep,17,143.86000633027726,77.73163203131053
0,Sheep,18,118.27316779793406,70.7853410402109
0,Sheep,19,120.65863437938202,83.18041142409052
1,Dog,0,61.15968303433896,145.40331799243424
1,Sheep,0,141.61486962033916,68.7678540573091
1,Sheep,1,139.3790741543368,43.32745106245444
1,Sheep,2,134.66435109111552,65.42168644507147
1,Sheep,3,111.36136863765589,44.85605971037261
1,Sheep,4,141.432677563601,42.619039701649484
1,Sheep,5,123.00087059202171,43.21786189196721
1,Sheep,6,96.2586053481839,57.11494442150548
1,Sheep,7,126.17569990222619,63.41115437927104
1,Sheep,8,136.9069385932576,59.54974951428832
1,Sheep,9,139.10825795578145,54.75140104085382
1,Sheep,10,130.24692399582705,58.64055142819007
1,Sheep,11,135.47953721282477,42.972383369529105
1,Sheep,12,130.07376620751677,62.602614969082765
1,Sheep,13,128.2729891546556,27.94343040847007
1,Sheep,14,131.81012078065808,58.65667205216742
1,Sheep,15,108.04408993180982,55.06339158406348
1,Sheep,16,144.11785207835982,63.32031855085375
1,Sheep,17,143.59940574455302,77.29069348456451
1,Sheep,18,118.52043298274931,70.47070648215058
1,Sheep,19,120.86598678883047,82.61815350206577
2,Dog,0,62.03438071910925,144.44159871933138
2,Sheep,0,141.1728039354832,68.23539969619264
2,Sheep,1,139.00893808658185,43.823331921698006
2,Sheep,2,134.50019164943697,65.0185388278429
2,Sheep,3,112.11553103333223,45.27177866933918
2,Sheep,4,140.97945584234265,43.14487392244322
2,Sheep,5,123.28845832041213,43.70798660528157
2,Sheep,6,97.25600726806186,57.04291701641119
2,Sheep,7,126.35154221935947,63.08190383391808
2,Sheep,8,136.64750121316786,59.38623132198562
2,Sheep,9,138.75651378387656,54.78391155387613
2,Sheep,10,130.25493581094304,58.50856866555217
2,Sheep,11,135.26605367224312,43.48031499637313
2,Sheep,12,130.09210072166158,62.309689828401545
2,Sheep,13,128.3336096624264,28.94159039747784
2,Sheep,14,131.75525724721925,58.525306269447334
2,Sheep,15,108.93793617449448,55.05875844763004
2,Sheep,16,143.57024617236104,63.00983668231734
2,Sheep,17,143.0917467270589,76.42913655033483
2,Sheep,18,119.01082760880838,69.84657721526104
2,Sheep,19,121.2122616618012,81.68002129988625
3,Dog,0,62.908803075552115,143.4796291030997
3,Sheep,0,140.53596153356028,67.46440696096856
3,Sheep,1,138.4644260382702,44.55234077873907
3,Sheep,2,134.25935993124028,64.4215327862525
3,Sheep,3,112.99232401927632,45.752645059769065
3,Sheep,4,140.32622521808108,43.90203162925287
3,Sheep,5,123.71407706771652,44.42855773427258
3,Sheep,6,98.2533161293454,56.96961061098251
3,Sheep,7,126.61219876936373,62.593976284020044
3,Sheep,8,136.26618976120997,59.142662275015084
3,Sheep,9,138.23908589302187,54.82946920852434
3,Sheep,10,130.26809514787055,58.31156047659391
3,Sheep,11,134.95259734619827,44.227108991766535
3,Sheep,12,130.1204520139703,61.87530162472355
3,Sheep,13,128.3952524132762,29.939688020259005
3,Sheep,14,131.67567949998065,58.32919631447309
3,Sheep,15,109.93791210311976,55.05193005957484
3,Sheep,16,142.76390473252678,62.549451099014654
3,Sheep,17,142.58546568763356,75.56676878587218
3,Sheep,18,119.62838842239991,69.06005516422933
3,Sheep,19,121.55866144273467,80.74193499347334
4,Dog,0,63.782613162943385,142.51710329504402
4,Sheep,0,139.9009981552559,66.69186571083307
4,Sheep,1,137.8651862760925,45.352909335331745
4,Sheep,2,133.94673472618345,63.640519697953756
4,Sheep,3,113.87041376533458,46.23113952957807
4,Sheep,4,139.67213365066348,44.658445992528605
4,Sheep,5,124.2250581574217,45.288148617463875
4,Sheep,6,99.25048208584117,56.89438538433191
4,Sheep,7,126.95255665320754,61.95521417713648
4,Sheep,8,135.770797896713,58.82179482219251
4,Sheep,9,137.56655897381629,54.8850152437399
4,Sheep,10,130.28632153187118,58.051454846475295
4,Sheep,11,134.56537607141388,45.14909477288517
4,Sheep,12,130.15836341025846,61.306138887605975
4,Sheep,13,128.45786940737827,30.937724986652682
4,Sheep,14,131.57315912927038,58.07022591855684
4,Sheep,15,110.93786951564108,55.042778497047756
4,Sheep,16,141.89708823515608,62.05082548100668
4,Sheep,17,142.0808325273337,74.70343570478627
4,Sheep,18,120.24517296386374,68.2729240698644
4,Sheep,19,121.9047016590875,79.80371599971527
5,Dog,0,64.65555584739336,141.55379074469224
5,Sheep,0,139.26831164441856,65.917458690613
5,Sheep,1,137.26438514800216,46.152306860432034
5,Sheep,2,133.5771753487555,62.7113136313937
5,Sheep,3,114.75015269952151,46.70659504309469
5,Sheep,4,139.01639831150567,45.41343579799306
5,Sheep,5,124.73859667801776,46.146214209232184
5,Sheep,6,100.2474520746342,56.81660617106295
5,Sheep,7,127.36547846120263,61.17620098457077
5,Sheep,8,135.17099318020297,58.427543614574105
5,Sheep,9,136.75224837223823,54.94688629708779
5,Sheep,10,130.3090407147532,57.73111455340808
5,Sheep,11,134.1773294891973,46.07073364380076
5,Sheep,12,130.20475755949616,60.61126812825034
5,Sheep,13,128.52122101323863,31.935715581941228
5,Sheep,14,131.44953136672348,57.75119500362792
5,Sheep,15,111.93779242712712,55.030420156624736
5,Sheep,16,141.03230246377586,61.548686072027664
5,Sheep,17,141.57796137861413,73.83907511654274
5,Sheep,18,120.86045968242827,67.4846216127381
5,Sheep,19,122.24977932763318,78.86514256139301
6,Dog,0,65.52730298499542,140.58939615320875
6,Sheep,0,138.6383740916069,65.14081391161005
6,Sheep,1,136.66096357512362,46.949728188695246
6,Sheep,2,133.2094855574687,61.781366050885524
6,Sheep,3,115.6319780561887,47.17816959146577
6,Sheep,4,138.3580181453946,46.16612030743669
6,Sheep,5,125.25529307136397,47.00238193727324
6,Sheep,6,101.24415255169504,56.73544640177849
6,Sheep,7,127.83086169050743,60.2910928008035
6,Sheep,8,134.47825669410622,57.96461196050776
6,Sheep,9,135.81206624015022,55.01059013066609
6,Sheep,10,130.33533120990523,57.35398330953056
6,Sheep,11,133.78753811306166,46.991635924205895
6,Sheep,12,130.25809477127513,59.80165652883722
6,Sheep,13,128.58503505477825,32.93367670400114
6,Sheep,14,131.30679314632619,57.37546747482864
6,Sheep,15,112.9376519965829,55.01370556462385
6,Sheep,16,140.17019896125348,61.04195542900168
6,Sheep,17,141.0770184672096,72.97359559521512
6,Sheep,18,121.47334220343683,66.69444852734593
6,Sheep,19,122.59321490137161,77.92596702503259
7,Dog,0,66.39761619382656,139.62370732209698
7,Sheep,0,138.01168152904972,64.3615483314048
7,Sheep,1,136.05373097132045,47.744251255418504
7,Sheep,2,132.8438020427945,60.85062772687634
7,Sheep,3,116.51635194810423,47.644947171461915
7,Sheep,4,137.69588759061682,46.91550773296989
7,Sheep,5,125.77579041135688,47.856244237782505
7,Sheep,6,102.24049992602556,56.650061140386455
7,Sheep,7,128.2921846698559,59.40386152841004
7,Sheep,8,133.7057144408912,57.438592307559674
7,Sheep,9,134.81372984101824,55.06823150980849
7,Sheep,10,130.36400593024217,56.9242086341784
7,Sheep,11,133.39493290342224,47.911342096417
7,Sheep,12,130.3164698262479,58.8901448219401
7,Sheep,13,128.64904388837516,33.931625339921126
7,Sheep,14,131.1471260988863,56.947096437362035
7,Sheep,15,113.93740235038474,54.99139538230842
7,Sheep,16,139.31148574357115,60.52950057194948
7,Sheep,17,140.57818262470025,72.10689992299915
7,Sheep,18,122.08284703687849,65.90166714092716
7,Sheep,19,122.9343418289067,76.98595049026581
8,Dog,0,67.26630427329164,138.6565563408147
8,Sheep,0,137.38872398051637,63.57929371532984
8,Sheep,1,135.44139883849027,48.534850816295005
8,Sheep,2,132.48024116714382,59.919058230912256
8,Sheep,3,117.40373453526077,48.10597928353149
8,Sheep,4,137.02883317065675,47.66051562280221
8,Sheep,5,126.30076765014755,48.707359490785365
8,Sheep,6,103.23640341675441,56.55964568848693
8,Sheep,7,128.74783742512756,58.513704935013294
8,Sheep,8,132.88471266101996,56.86766839178975
8,Sheep,9,133.81475175245853,55.11340827409044
8,Sheep,10,130.39365713394332,56.446672873386454
8,Sheep,11,132.99832009591546,48.8293271398221
8,Sheep,12,130.37763135381815,57.8920179417418
8,Sheep,13,128.71298384379847,34.92957837959997
8,Sheep,14,130.9728738775554,56.47085819522604
8,Sheep,15,114.9369761953164,54.9622299945316
8,Sheep,16,138.45690405979806,60.01018516354126
8,Sheep,17,140.08161913434935,71.23890034365569
8,Sheep,18,122.68797274373267,65.10553817751106
8,Sheep,19,123.2725256348717,76.0448711288353
9,Dog,0,68.13321243139562,137.6878096012523
9,Sheep,0,136.77002628249204,62.793665604107915
9,Sheep,1,134.8226014110744,49.32040031614799
9,Sheep,2,132.11895785058059,58.98660309713708
9,Sheep,3,118.2946010542172,48.560242734800106
9,Sheep,4,136.35563329679962,48.399975056146005
9,Sheep,5,126.83100939539253,49.55520495484419
9,Sheep,6,104.23176258701892,56.46342291511756
9,Sheep,7,129.196091914147,57.6197999742029
9,Sheep,8,132.07027357988906,56.28742093357474
9,Sheep,9,132.81518211060992,55.14271116666407
9,Sheep,10,130.4227684397289,55.92692223108146
9,Sheep,11,132.59641314038922,49.74500668059808
9,Sheep,12,130.4351509943709,56.893674501888796
9,Sheep,13,128.77664319222407,35.92754934617729
9,Sheep,14,130.78657895280884,55.95218481510136
9,Sheep,15,115.93627905606448,54.9249169907957
9,Sheep,16,137.6072557070784,59.48283708019347
9,Sheep,17,139.5875216813828,70.36949464993042
9,Sheep,18,123.28771822290487,64.30534833364602
9,Sheep,19,123.60719699192025,75.10253694257398
10,Dog,0,68.998246854351,136.7173893587273
10,Sheep,0,136.1561275370496,62.004281869944
10,Sheep,1,134.1959272715383,50.099680599841456
10,Sheep,2,131.76014292203044,58.05319534423218
10,Sheep,3,119.18941843589091,49.006673315782685
10,Sheep,4,135.67505314504538,49.13264752596762
10,Sheep,5,127.3674120296289,50.39916610074012
10,Sheep,6,105.22647140608872,56.36069488608163
10,Sheep,7,129.63513543737062,56.72133521597265
10,Sheep,8,131.2638922382385,55.696026621395
10,Sheep,9,131.81523014863396,55.15241520214726
10,Sheep,10,130.44979156471797,55.3711746611008
10,Sheep,11,132.18785636322465,50.65773859282449
10,Sheep,12,130.48787888389805,55.89506653356316
10,Sheep,13,128.83986807391744,36.92554791907725
10,Sheep,14,130.59097806015419,55.39717599869936
10,Sheep,15,116.93518608554103,54.878192372581445
10,Sheep,16,136.7633856990959,58.9462909869611
10,Sheep,17,139.09609448803116,69.49857682924944
10,Sheep,18,123.88112314455121,63.50044523195739
10,Sheep,19,123.93787421638474,74.15879376058344
11,Dog,0,69.86130965936972,135.7452152001563
11,Sheep,0,135.54758979895405,61.210757989285995
11,Sheep,1,133.55986545803208,50.87131754189141
11,Sheep,2,131.4040222915402,57.118756337627445
11,Sheep,3,120.08865773189649,49.44412853646095
11,Sheep,4,134.98579871467481,49.857165701772054
11,Sheep,5,127.91101470991156,51.238507681047835
11,Sheep,6,106.22041355869257,56.25079646810802
11,Sheep,7,130.06301702430378,55.81750146174695
11,Sheep,8,130.46726322704401,55.09155967462719
11,Sheep,9,130.81532983241775,55.13836466370578
11,Sheep,10,130.47317636953733,54.78619114615854
11,Sheep,11,131.77116299166877,51.56678467381788
11,Sheep,12,130.53461503583438,54.896160227585604
11,Sheep,13,128.90254059724043,37.923581317946
11,Sheep,14,130.38894653611274,54.81247466563747
11,Sheep,15,117.9335354277697,54.82077278202322
11,Sheep,16,135.9262042011028,58.399367394650454
11,Sheep,17,138.6075519779771,68.62603758321409
11,Sheep,18,124.46723090564792,62.69021312060881
11,Sheep,19,124.26412528230026,73.21351134424299
12,Dog,0,70.72229895296509,134.77120419595042
12,Sheep,0,134.9450058996441,60.41270351099953
12,Sheep,1,132.91275233686537,51.63371033494072
