Frame,Agent_Type,Agent_ID,X,Y
3,Sheep,1,158.48817079601315,78.81217658867492
3,Sheep,2,157.65319419370707,90.27956616892875
3,Sheep,3,187.4869152947763,70.51085032723199
3,Sheep,4,156.99332508431235,63.052382724667766
3,Sheep,5,187.18304196813682,96.52209507777208
3,Sheep,6,157.33762331549588,70.45657928371406
3,Sheep,7,187.3531885584747,49.65887706924017
3,Sheep,8,184.8707564080076,93.4275470128507
3,Sheep,9,172.97674383885624,83.88780331296194
3,Sheep,10,163.59338488293614,78.18771159828096
3,Sheep,11,155.05955707933725,87.79494512007888
3,Sheep,12,148.6092452246576,82.979202673449
3,Sheep,13,159.4164771458032,59.14287250515698
3,Sheep,14,149.67849748440014,91.35395249837585
3,Sheep,15,173.8694567608295,82.49223288096235
3,Sheep,16,168.41507681567998,58.36052163816992
3,Sheep,17,141.65068740511265,76.6057923729983
3,Sheep,18,190.2987277082182,55.0098687022016
3,Sheep,19,166.93840707978427,71.42370377495814
4,Dog,0,143.4821167977502,139.87023918471155
4,Sheep,0,169.50414992248227,82.81984499017797
4,Sheep,1,159.2826540499694,78.2765562641803
4,Sheep,2,158.14543770197787,89.40910943230382
4,Sheep,3,186.5023475156458,70.68584988120692
4,Sheep,4,157.7013773670045,63.758541609413584
4,Sheep,5,186.57524617103945,95.72800251177011
4,Sheep,6,158.2081306673311,70.67685777792009
4,Sheep,7,186.73052145421423,50.44136313548849
4,Sheep,8,184.2587732380359,92.63667706579461
4,Sheep,9,172.60489024778403,82.95951298697447
4,Sheep,10,163.9692886102853,77.72394421084056
4,Sheep,11,155.68362916312464,87.01357925259767
4,Sheep,12,149.4711382276093,82.47211386717102
4,Sheep,13,159.89933980983233,60.018567735864686
4,Sheep,14,150.3420307346602,90.6058065722592
4,Sheep,15,173.41256755060508,81.68185979914517
4,Sheep,16,168.36177217092927,59.35909916507233
4,Sheep,17,142.63732860583139,76.44288805670384
4,Sheep,18,189.54007694235563,55.661365250194216
4,Sheep,19,167.01863837634508,71.578193379516
5,Dog,0,144.32724218978436,138.88243198098246
5,Sheep,0,169.40625821740613,81.82464878368391
5,Sheep,1,160.10925582024683,77.71377050983926
5,Sheep,2,158.63683716622202,88.5381759370283
5,Sheep,3,185.51650014144337,70.85349082346704
5,Sheep,4,158.4159155040036,64.458136972685
5,Sheep,5,185.97294201783822,94.92973662397006
5,Sheep,6,159.18014688100016,70.91176764844846
5,Sheep,7,186.10686791568378,51.2230632127518
5,Sheep,8,183.65251010166426,91.841413796222
5,Sheep,9,172.23871570069858,82.02896768086799
5,Sheep,10,164.42945769047125,77.15153720327208
5,Sheep,11,156.30633634705487,86.2311252078058
5,Sheep,12,150.33101942253205,81.96162104512074
5,Sheep,13,160.38887473633488,60.89055054428944
5,Sheep,14,151.0041451958047,89.85640472528407
5,Sheep,15,172.92825628612593,80.80696504096679
5,Sheep,16,168.3121538388311,60.35786663193745
5,Sheep,17,143.62299916904527,76.27421025376597
5,Sheep,18,188.77975278600564,56.31090808432766
5,Sheep,19,167.12083630904914,71.75436177252067
6,Dog,0,145.17169882031362,137.89405300551044
6,Sheep,0,169.3133875846951,80.82897143963622
6,Sheep,1,160.9327815146255,77.14649301092629
6,Sheep,2,159.12740121326337,87.66677161795702
6,Sheep,3,184.5291086322703,71.01178331360879
6,Sheep,4,159.13896063030245,65.14893661048902
6,Sheep,5,185.37725794497763,94.12651860123138
6,Sheep,6,160.15515761854806,71.13392155866707
6,Sheep,7,185.48207165636794,52.0038502263607
6,Sheep,8,183.05322603540498,91.04087819350956
6,Sheep,9,171.87999521130064,81.09552354489024
6,Sheep,10,164.96721084481817,76.47722159879223
6,Sheep,11,156.92752285982746,85.4474633738474
6,Sheep,12,151.18847786869563,81.44706921232675
6,Sheep,13,160.8871673673591,61.7575585536552
6,Sheep,14,151.66467670697077,89.10560728412827
6,Sheep,15,172.45235375831925,79.92746796745516
6,Sheep,16,168.26755419824246,61.35687077181788
6,Sheep,17,144.6074544782092,76.09857885058592
6,Sheep,18,188.01742524919598,56.95809849003862
6,Sheep,19,167.24567627519076,71.94326378529206
7,Dog,0,146.01547026961208,136.9050890317739
7,Sheep,0,169.2267404620412,79.83273322380684
7,Sheep,1,161.75263807316963,76.57392551923274
7,Sheep,2,159.61715312269155,86.79491060636066
7,Sheep,3,183.53998027501385,71.1588328657535
7,Sheep,4,159.87239032485982,65.82870072349196
7,Sheep,5,184.7891263720312,93.3177541450272
7,Sheep,6,161.13369556463644,71.33998407426698
7,Sheep,7,184.85599314843319,52.78360942420799
7,Sheep,8,182.4619838626095,90.23438496906606
7,Sheep,9,171.53041024438505,80.15861977504771
7,Sheep,10,165.57446115053355,75.70975101067438
7,Sheep,11,157.5470649519194,84.66250086888276
7,Sheep,12,152.04316061387058,80.92791994157605
7,Sheep,13,161.3962026664336,62.61830327171213
7,Sheep,14,152.32349892426896,88.35330950545111
7,Sheep,15,171.98685121675805,79.04242238705591
7,Sheep,16,168.22930727834876,62.35613827283044
7,Sheep,17,145.59046391625333,75.91502756277112
7,Sheep,18,187.25280127756358,57.602574132867986
7,Sheep,19,167.3935442963084,72.13548241786415
8,Dog,0,146.85853366113838,135.91552138988772
8,Sheep,0,169.1475158517776,78.83587729336583
8,Sheep,1,162.56823668524572,75.99530890004094
8,Sheep,2,160.10612459963784,85.92261166920767
8,Sheep,3,182.54898522390363,71.29272557903371
8,Sheep,4,160.61801048910684,66.49507067180635
8,Sheep,5,184.20937063445447,92.50296462412729
8,Sheep,6,162.11613018095414,71.52658651472404
8,Sheep,7,184.2284922369391,53.56222440497002
8,Sheep,8,181.87973399517534,89.42137592582094
8,Sheep,9,171.19160610486227,79.21776375188622
8,Sheep,10,166.19201031629885,74.92321990683398
8,Sheep,11,158.16485683523584,83.87616015944585
8,Sheep,12,152.89474638065863,80.40370602851827
8,Sheep,13,161.91796184729716,63.47139513803764
8,Sheep,14,152.98050561438373,87.59942565642434
8,Sheep,15,171.53372523765776,78.15097686453089
8,Sheep,16,168.19881951722692,63.35567257744013
8,Sheep,17,146.5717968501019,75.72271456684047
8,Sheep,18,186.4855947032218,58.243973167040224
8,Sheep,19,167.564528533461,72.32130710068805
9,Dog,0,147.70086566491057,134.92533110745654
9,Sheep,0,169.07688885709476,77.83837536826547
9,Sheep,1,163.37898585677578,75.40991668320986
9,Sheep,2,160.5943429611117,85.04989100537479
9,Sheep,3,181.5560627302877,71.41148307474802
9,Sheep,4,161.37755809574168,67.14552108578228
9,Sheep,5,183.6387145381522,91.68177628751728
9,Sheep,6,163.10263714099136,71.69030040403261
9,Sheep,7,183.59941656980564,54.33956761340195
9,Sheep,8,181.30732213105566,88.60141052729578
9,Sheep,9,170.86518131075428,78.27254148544498
9,Sheep,10,166.80637832596128,74.13420145961513
9,Sheep,11,158.78080061970397,83.08837099922442
9,Sheep,12,153.7429383610453,79.8740184850307
9,Sheep,13,162.4544437294954,64.31530599472745
9,Sheep,14,153.6356012049369,86.84388055341691
9,Sheep,15,171.09493407702323,77.25238876836801
9,Sheep,16,168.17759473293947,64.35544645214067
9,Sheep,17,147.55122025104427,75.52090177756185
9,Sheep,18,185.71551332109274,58.88191774863485
9,Sheep,19,167.75836419077925,72.49098468680381
10,Dog,0,148.54243667913403,133.93449397249495
10,Sheep,0,169.0160348802511,76.84022957022451
10,Sheep,1,164.18427484268742,74.8170356713524
10,Sheep,2,161.08182862983514,84.17676087032494
10,Sheep,3,180.56122824005766,71.51298543106311
10,Sheep,4,162.15273391082692,67.77726528501057
10,Sheep,5,183.07782225337897,90.85388831499584
10,Sheep,6,164.0931709142809,71.82756306184397
10,Sheep,7,182.96859224663868,55.11549242122981
10,Sheep,8,180.7455295732659,87.77413324408943
10,Sheep,9,170.5527261329499,77.32260989914951
10,Sheep,10,167.41724682283214,73.34247056051099
10,Sheep,11,159.3947987757365,82.29906449665357
